Year, Avg Beer Price , Avg Hot Dog Price , Avg Nachos Price 
2000,$4.00 ,$3.00 ,$4.00 
2001,$4.10 ,$3.10 ,$4.20 
2002,$4.20 ,$3.20 ,$4.30 
2003,$4.35 ,$3.30 ,$4.40 
2004,$4.50 ,$3.50 ,$4.60 
2005,$4.60 ,$3.60 ,$4.75 
2006,$4.75 ,$3.75 ,$4.90 
2007,$4.90 ,$3.90 ,$5.00 
2008,$5.10 ,$4.00 ,$5.25 
2009,$5.30 ,$4.20 ,$5.50 
2010,$5.50 ,$4.40 ,$5.75 
2011,$5.60 ,$4.50 ,$5.90 
2012,$5.67 ,$4.50 ,$6.00 
2013,$6.00 ,$4.75 ,$6.25 
2014,$6.25 ,$5.00 ,$6.50 
2015,$6.50 ,$5.00 ,$6.75 
2016,$7.00 ,$5.25 ,$7.00 
2017,$7.75 ,$5.50 ,$7.25 
2018,$8.50 ,$5.75 ,$7.50 
2019,$9.50 ,$6.00 ,$8.00 
2020,$10.00 ,$6.25 ,$8.50 
2021,$11.00 ,$6.50 ,$9.00 
2022,$12.00 ,$6.50 ,$9.50 
2023,$11.75 ,$6.50 ,$9.75 
2024,$11.75 ,$6.50 ,$9.75 
